ID,Title,SourceSite,AssignedTo,Owner,To Do,Status,Notes,Priority,ParentSite,Item Type,Path,NewParentSite
24,Internal Comms Solution,http://navigator/sites/pmo/Projects/Special_Projects/Internal_Comms_Solution/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
25,Management System Phase II,http://navigator/sites/pmo/Projects/Special_Projects/msp2/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
26,MARIS Integration,http://navigator/sites/pmo/Projects/Special_Projects/MARIS/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
27,Management System,http://navigator/sites/pmo/Projects/Special_Projects/Management-System/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
28,Loyalty Program,http://navigator/sites/pmo/Projects/Special_Projects/Loyalty_Program/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
29,Navico Technology Roadmap Process,http://navigator/sites/pmo/Projects/Special_Projects/ntrp/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
30,MRO System,http://navigator/sites/pmo/Projects/Special_Projects/MRO/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
31,MCP – ERP integration,http://navigator/sites/pmo/Projects/Special_Projects/MCP_ERP/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
32,Performance Review Process Phase 2,http://navigator/sites/pmo/Projects/Special_Projects/PerfRevPro2/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
33,PIM,http://navigator/sites/pmo/Projects/Special_Projects/PIM/,Paul Vazquez,Laurie Fernald,Migrate to SPO,,,3,http://navigator/sites/pmo/Projects/Special_Projects/,Item,sites/global/it/Lists/MigrationSites,https://navico.sharepoint.com/sites/global/pmo/projects/Special_Projects/
